threshold,tp,fp,fn,tn,precision,recall,f1,accuracy,roc_auc,utility
0.386,31,20,17,156,0.6078431372549019,0.6458333333333334,0.6262626262626263,0.8348214285714286,0.8893229166666666,1450.0
0.388,31,20,17,156,0.6078431372549019,0.6458333333333334,0.6262626262626263,0.8348214285714286,0.8893229166666666,1450.0
0.39,31,20,17,156,0.6078431372549019,0.6458333333333334,0.6262626262626263,0.8348214285714286,0.8893229166666666,1450.0
0.392,31,20,17,156,0.6078431372549019,0.6458333333333334,0.6262626262626263,0.8348214285714286,0.8893229166666666,1450.0
0.394,31,20,17,156,0.6078431372549019,0.6458333333333334,0.6262626262626263,0.8348214285714286,0.8893229166666666,1450.0
0.396,31,20,17,156,0.6078431372549019,0.6458333333333334,0.6262626262626263,0.8348214285714286,0.8893229166666666,1450.0
0.398,31,19,17,157,0.62,0.6458333333333334,0.6326530612244898,0.8392857142857143,0.8893229166666666,1455.0
0.4,31,19,17,157,0.62,0.6458333333333334,0.6326530612244898,0.8392857142857143,0.8893229166666666,1455.0
0.402,31,19,17,157,0.62,0.6458333333333334,0.6326530612244898,0.8392857142857143,0.8893229166666666,1455.0
0.404,31,19,17,157,0.62,0.6458333333333334,0.6326530612244898,0.8392857142857143,0.8893229166666666,1455.0
0.406,31,18,17,158,0.6326530612244898,0.6458333333333334,0.6391752577319587,0.84375,0.8893229166666666,1460.0
0.40800000000000003,31,18,17,158,0.6326530612244898,0.6458333333333334,0.6391752577319587,0.84375,0.8893229166666666,1460.0
0.41000000000000003,31,17,17,159,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.8482142857142857,0.8893229166666666,1465.0
0.41200000000000003,31,17,17,159,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.8482142857142857,0.8893229166666666,1465.0
0.41400000000000003,31,17,17,159,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.8482142857142857,0.8893229166666666,1465.0
0.41600000000000004,31,17,17,159,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.8482142857142857,0.8893229166666666,1465.0
0.418,31,17,17,159,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.8482142857142857,0.8893229166666666,1465.0
0.42,31,17,17,159,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.8482142857142857,0.8893229166666666,1465.0
0.422,31,16,17,160,0.6595744680851063,0.6458333333333334,0.6526315789473685,0.8526785714285714,0.8893229166666666,1470.0
0.424,31,16,17,160,0.6595744680851063,0.6458333333333334,0.6526315789473685,0.8526785714285714,0.8893229166666666,1470.0
0.426,31,16,17,160,0.6595744680851063,0.6458333333333334,0.6526315789473685,0.8526785714285714,0.8893229166666666,1470.0
0.428,31,15,17,161,0.6739130434782609,0.6458333333333334,0.6595744680851063,0.8571428571428571,0.8893229166666666,1475.0
0.43,31,15,17,161,0.6739130434782609,0.6458333333333334,0.6595744680851063,0.8571428571428571,0.8893229166666666,1475.0
0.432,31,15,17,161,0.6739130434782609,0.6458333333333334,0.6595744680851063,0.8571428571428571,0.8893229166666666,1475.0
0.434,31,15,17,161,0.6739130434782609,0.6458333333333334,0.6595744680851063,0.8571428571428571,0.8893229166666666,1475.0
0.436,31,15,17,161,0.6739130434782609,0.6458333333333334,0.6595744680851063,0.8571428571428571,0.8893229166666666,1475.0
0.438,31,15,17,161,0.6739130434782609,0.6458333333333334,0.6595744680851063,0.8571428571428571,0.8893229166666666,1475.0
0.44,31,15,17,161,0.6739130434782609,0.6458333333333334,0.6595744680851063,0.8571428571428571,0.8893229166666666,1475.0
0.442,31,15,17,161,0.6739130434782609,0.6458333333333334,0.6595744680851063,0.8571428571428571,0.8893229166666666,1475.0
0.444,31,14,17,162,0.6888888888888889,0.6458333333333334,0.6666666666666666,0.8616071428571429,0.8893229166666666,1480.0
0.446,31,14,17,162,0.6888888888888889,0.6458333333333334,0.6666666666666666,0.8616071428571429,0.8893229166666666,1480.0
0.448,31,14,17,162,0.6888888888888889,0.6458333333333334,0.6666666666666666,0.8616071428571429,0.8893229166666666,1480.0
